liz_ID,Site,context,svl.mm,crest_pres,area_under_crest,max_tail_height,base_to_crest_end
KMW_001,San Juan,natural,71,1,0.5724,0.316066667,2.355533333
KMW_002,San Juan,natural,67,1,0.4438,0.311766667,1.9264
KMW_003,San Juan,natural,70,1,0.510933333,0.301533333,2.249033333
KMW_004,San Juan,natural,66,1,0.5696,0.362533333,2.0261
KMW_005,San Juan,natural,65,1,0.4697,0.295233333,2.0804
KMW_007,San Juan,natural,75,B,0.451633333,0.289366667,2.272866667
KMW_008,San Juan,natural,69,1,0.615966667,0.328666667,2.3413
KMW_009,San Juan,natural,62,1,0.562633333,0.3709,1.875733333
KMW_010,San Juan,natural,68,1,0.3538,0.2521,1.785533333
KMW_011,San Juan,natural,51,0,NA,0.1456,NA
KMW_012,San Juan,natural,69,1,0.490166667,0.315433333,2.188033333
KMW_013,San Juan,natural,68,1,0.580066667,0.360466667,1.963066667
KMW_014,San Juan,natural,68,1,0.4156,0.2487,2.094466667
KMW_015,San Juan,natural,66,1,0.694333333,0.436233333,1.9264
KMW_016,San Juan,natural,65,1,0.633766667,0.3688,2.145733333
KMW_017,San Juan,natural,71,B,0.4954,0.281833333,2.222833333
KMW_018,San Juan,natural,65,1,0.5185,0.362766667,1.751333333
KMW_019,San Juan,natural,67,1,0.513733333,0.301633333,2.103766667
KMW_022,San Juan,natural,68,1,0.5555,0.353133333,1.944833333
KMW_023,San Juan,natural,65,1,0.462466667,0.2982,1.955933333
KMW_024,San Juan,natural,70,1,0.626966667,0.368,2.219166667
KMW_025,San Juan,natural,68,1,0.486933333,0.326333333,1.9774
KMW_026,San Juan,natural,71,1,0.5133,0.2984,2.090333333
KMW_027,San Juan,natural,72,1,0.587133333,0.362766667,1.9942
KMW_028,San Juan,natural,64,1,0.556333333,0.368366667,1.930333333
KMW_029,San Juan,natural,61,1,0.5801,0.4088,1.885566667
KMW_030,San Juan,natural,69,1,0.567433333,0.3843,1.970966667
KMW_032,San Juan,natural,65,1,0.5398,0.368866667,2.068166667
KMW_033,San Juan,natural,69,1,0.445133333,0.268,2.146566667
KMW_034,San Juan,natural,70,1,0.5575,0.350666667,2.221733333
KMW_038,San Juan,natural,71,1,0.474366667,0.317033333,1.915833333
KMW_039,San Juan,natural,69,1,0.785866667,0.493166667,2.0233
KMW_040,San Juan,natural,74,0,0.5757,0.321866667,2.225133333
KMW_041,San Juan,natural,68,1,0.4124,0.274033333,1.933833333
KMW_043,San Juan,natural,70,1,0.700733333,0.431066667,2.2732
KMW_044,San Juan,natural,71,1,0.580033333,0.371633333,1.9564
KMW_045,San Juan,natural,65,1,0.563833333,0.367833333,1.9536
KMW_047,San Juan,natural,72,B,0.467833333,0.312166667,2.0119
KMW_049,San Juan,natural,71,1,0.646433333,0.347566667,2.436333333
KMW_050,San Juan,natural,70,1,0.5674,0.342133333,2.061733333
KMW_051,San Juan,natural,71,1,0.631433333,0.393666667,2.1047
KMW_053,San Juan,natural,64,1,0.627833333,0.395733333,2.022666667
KMW_054,San Juan,natural,71,0,0.465466667,0.2975,2.0922
KMW_055,San Juan,natural,68,0,0.4262,0.2831,2.072566667
KMW_057,San Juan,urban,60,1,0.362333333,0.2586,1.739933333
KMW_058,San Juan,urban,64,0,NA,0.319533333,NA
KMW_063,San Juan,urban,65,1,0.576566667,0.379566667,1.8947
KMW_064,San Juan,urban,65,1,0.666566667,0.4311,1.9306
KMW_066,San Juan,urban,64,1,0.4839,0.314233333,1.9125
KMW_068,San Juan,urban,60,1,0.415133333,0.292733333,1.707266667
KMW_069,San Juan,urban,72,1,0.752133333,0.428466667,2.2186
KMW_070,San Juan,urban,67,1,0.565166667,0.355833333,2.035666667
KMW_071,San Juan,urban,62,1,0.6684,0.437166667,1.8576
KMW_072,San Juan,urban,62,1,0.385266667,0.267533333,1.7192
KMW_073,San Juan,urban,61,1,0.4568,0.317333333,1.932466667
KMW_075,San Juan,urban,72,1,0.633266667,0.368433333,2.197166667
KMW_080,San Juan,urban,64,1,0.678666667,0.401166667,2.052166667
KMW_081,San Juan,urban,69,1,0.681633333,0.437066667,1.917733333
KMW_084,San Juan,urban,69,1,0.639566667,0.362,2.0432
KMW_085,San Juan,urban,63,B,0.369166667,0.291,1.7261
KMW_086,San Juan,urban,65,1,0.547233333,0.337333333,1.921333333
KMW_087,San Juan,urban,61,1,0.770166667,0.478933333,1.933666667
KMW_088,San Juan,urban,67,1,0.5553,0.335133333,2.104966667
KMW_091,San Juan,urban,71,1,0.637566667,0.3601,2.124166667
KMW_092,San Juan,urban,67,1,0.660666667,0.381666667,2.1796
KMW_093,San Juan,urban,65,1,0.471666667,0.336233333,1.782333333
KMW_094,San Juan,urban,60,1,0.343033333,0.254266667,1.6164
KMW_095,San Juan,urban,63,1,0.4895,0.3427,1.8527
KMW_099,San Juan,urban,68,1,0.468266667,0.302066667,1.865933333
KMW_100,San Juan,urban,68,1,0.5721,0.355033333,1.963633333
KMW_101,San Juan,urban,74,B,0.5893,0.373633333,2.0806
KMW_102,San Juan,urban,70,1,0.570033333,0.3344,2.1634
KMW_103,San Juan,urban,70,1,0.5181,0.3284,1.992066667
KMW_104,San Juan,urban,65,1,0.574533333,0.358033333,1.977966667
KMW_105,San Juan,urban,59,1,0.352033333,0.263066667,1.7469
KMW_106,San Juan,urban,60,0,NA,0.243833333,NA
KMW_109,San Juan,urban,69,1,0.592033333,0.361733333,2.2802
KMW_111,Mayaguez,natural,56,0,NA,0.2142,NA
KMW_112,Mayaguez,natural,66,0,0.4054,0.268433333,1.994266667
KMW_114,Mayaguez,natural,59,0,0.325933333,0.259466667,1.5718
KMW_115,Mayaguez,natural,59,0,NA,0.2204,NA
KMW_116,Mayaguez,natural,63,1,0.3704,0.2778,1.7103
KMW_117,Mayaguez,natural,59,1,0.297566667,0.223033333,1.663
KMW_118,Mayaguez,natural,63,0,NA,0.304233333,NA
KMW_119,Mayaguez,natural,63,B,0.305966667,0.258933333,1.5202
KMW_121,Mayaguez,natural,64,1,0.448233333,0.301266667,1.8016
KMW_122,Mayaguez,natural,67,B,0.336566667,0.240933333,1.684066667
KMW_123,Mayaguez,natural,64,0,0.374366667,0.290266667,1.784833333
KMW_124,Mayaguez,natural,66,0,0.369766667,0.282433333,1.838233333
KMW_125,Mayaguez,natural,57,0,NA,0.1923,NA
KMW_126,Mayaguez,natural,63,0,0.3044,0.247133333,1.606066667
KMW_127,Mayaguez,natural,57,0,NA,0.1974,NA
KMW_128,Mayaguez,natural,62,0,NA,0.237133333,NA
KMW_129,Mayaguez,natural,66,0,0.405633333,0.295833333,1.940866667
KMW_130,Mayaguez,natural,66,B,0.4176,0.289566667,1.998266667
KMW_132,Mayaguez,natural,61,B,0.365233333,0.270766667,1.823966667
KMW_133,Mayaguez,natural,65,0,NA,0.256,NA
KMW_134,Mayaguez,natural,62,1,0.414833333,0.279566667,1.8142
KMW_135,Mayaguez,natural,64,0,NA,0.262066667,NA
KMW_137,Mayaguez,natural,63,1,0.429066667,0.314733333,1.699366667
KMW_138,Mayaguez,natural,62,1,0.4517,0.292666667,1.9294
KMW_139,Mayaguez,natural,66,B,0.398033333,0.285266667,1.8658
KMW_140,Mayaguez,natural,63,B,0.357433333,0.245366667,1.7733
KMW_141,Mayaguez,natural,64,0,0.3448,0.2665,1.731533333
KMW_142,Mayaguez,natural,63,0,0.346433333,0.253666667,1.843733333
KMW_144,Mayaguez,natural,62,0,NA,0.2731,NA
KMW_146,Mayaguez,natural,62,B,NA,0.271866667,NA
KMW_147,Mayaguez,natural,62,1,0.411433333,0.2811,1.898966667
KMW_148,Mayaguez,natural,56,0,NA,0.213866667,NA
KMW_149,Mayaguez,natural,59,0,0.280333333,0.236433333,1.512133333
KMW_151,Mayaguez,natural,55,0,NA,0.204833333,NA
KMW_153,Mayaguez,natural,63,B,0.391133333,0.290633333,1.756
KMW_154,Mayaguez,natural,64,B,0.427,0.295633333,1.903633333
