indNo.,sex,waterq,lengthMm,massKg,
1,M,3,513,3.09,
2,M,3,513,2.909,
3,M,3,525,3.056,
4,M,3,501,2.69,
5,M,3,513,2.876,
6,M,3,501,2.978,
7,M,2,427,1.61,
8,M,2,457,2.156, 
9,M,2,427,1.563,
10,M,2,447,1.763,
11,M,2,437,1.79,
12,M,3,501,3.3, 
13,M,2,457,1.906,
14,M,2,427,1.992,
15,M,2,447,1.694,
16,M,2,407,1.44,
17,M,3,513,3.25,
18,M,2,447,2.177,
19,M,2,457,2.13,
20,M,2,389,1.252,
21,M,3,468,2.334,
22,M,2,437,1.95,
23,M,3,468,2.56,
24,M,2,437,1.764,
25,F,2,427,1.532,
26,F,2,427,1.656,
27,F,2,437,1.812,
28,F,2,427,1.696,
29,F,2,427,1.835,
30,F,2,417,1.516,
31,F,2,437,1.749,
32,F,2,398,1.39,
33,F,2,468,2.615,
34,F,2,427,1.585, 
35,F,2,427,1.829,
36,F,2,398,1.542,
37,F,2,407,1.76,
38,F,2,437,1.991,
39,F,3,550,3.528,
40,F,2,427,1.602,
41,F,2,427,1.852,
42,F,2,427,1.848,
43,F,2,427,1.723,
44,F,3,479,3.301,
45,F,3,490,2.872,
46,F,3,501,3.075,
47,F,3,513,3.274,
48,F,2,407,1.474,
49,F,3,479,2.288,
50,F,2,427,1.698,
51,F,3,501,2.834,
52,F,3,479,2.929,
53,F,2,447,1.885,
54,F,3,490,3.001,
55,F,2,427,1.736,
56,F,3,537,3.209,
57,F,2,427,1.737,
58,F,2,447,2.021,
59,F,3,513,2.925,
60,F,3,525,3.493,
61,F,2,437,1.893,
62,F,2,437,1.832,
63,F,2,427,1.67,
64,F,2,447,1.903,
65,F,2,457,1.99,
66,F,2,437,1.827,
67,F,3,501,2.9,
68,F,3,501,2.764,
69,F,2,447,2.036,
70,F,2,447,2.029,
71,F,2,427,1.598,
72,F,2,457,2.015,
73,F,3,501,3.038,
74,F,3,501,2.677,
75,F,2,457,2.316,
76,F,2,447,1.982,
77,F,2,447,1.945,
78,F,2,407,1.584,
79,F,2,437,1.945,
80,F,3,479,2.495,
81,F,2,437,1.913,
82,F,3,501,2.658,
83,F,2,447,1.897,
84,F,2,457,2.132,
85,F,2,457,1.973,
86,F,3,513,3.106,
87,F,2,468,2.362,
88,F,2,437,1.837,
89,F,2,447,1.957,
90,F,2,437,1.8,
91,F,3,513,3.107,
92,F,2,447,1.894,
93,F,2,437,2.033,
94,M,2,447,1.748,
95,M,3,501,2.94,
96,M,2,437,1.891,
97,M,2,437,1.996,
98,M,2,447,1.76,
99,M,3,513,3.068,
100,M,2,437,1.79,
101,M,2,427,1.666,
102,M,3,513,3.005,
103,M,2,457,1.986,
104,M,3,501,2.808,
105,M,2,437,1.945,
106,M,2,407,1.408,
107,M,2,447,1.914,
108,M,2,427,1.64,
109,M,2,447,1.811,
110,M,2,437,1.883,
111,M,2,417,1.495,
112,M,2,447,1.77,
113,M,2,447,1.96,
114,M,2,457,1.897,
115,M,2,468,2.259,
116,M,2,427,1.695,
117,M,2,447,1.779,
118,M,2,417,1.528,
119,M,3,457,1.941,
120,M,3,468,2.425,
121,M,3,513,2.753,
122,M,2,407,1.611,
123,M,2,437,1.872,
124,M,2,437,1.843,
125,M,2,427,1.595,
126,M,2,447,1.82,
127,M,2,447,2.068,
128,M,2,407,1.347,
129,M,3,525,2.947,
130,M,2,407,1.551,
131,M,2,407,1.425,
132,M,2,437,1.738,
133,F,2,447,2.028,
134,F,3,513,3.001,
135,F,2,437,1.701,
136,F,2,417,1.568,
137,F,2,437,1.728,
138,F,2,447,2.118,
139,F,3,513,2.815,
140,F,2,457,1.926,
141,F,2,447,1.896,
142,F,2,407,1.462,
143,F,2,437,1.612,
144,F,2,417,1.596,
145,F,2,427,1.745,
146,F,2,417,1.586,
147,F,2,427,1.653,
148,F,3,513,2.872,
149,F,2,457,1.984,
150,F,2,417,1.622,
151,F,3,501,2.775,
152,F,2,427,1.654,
153,F,2,447,1.815,
154,F,2,427,1.636,
155,F,2,437,1.782,
156,F,2,398,1.18,
157,F,2,407,1.435,
158,F,2,447,1.868,
159,F,2,437,1.76,
160,F,2,427,1.602,
161,F,2,427,1.591,
162,F,3,479,2.578,
163,F,2,417,1.414,
164,F,2,447,1.89,
165,F,2,437,1.625,
166,F,3,501,2.703,
167,F,2,437,1.632,
168,F,2,457,1.945,
169,F,2,457,2.137,
170,F,3,513,3.095,
171,F,2,457,2.016,
172,F,2,427,1.525,
173,F,2,417,1.458,
174,F,2,417,1.633,
175,F,3,501,2.572,
176,F,2,437,1.641,
177,F,2,389,1.215,
178,F,2,417,1.562,
179,F,2,457,1.891,
