No.spots,TailLength_mm,DorsalF_Length_mm,Rfin_Length_mm,indNo.,sex
2,131.48,68.21,105.16,1,M
1,122.46,67.66,106.69,2,M
1,127.13,64.47,99.01,3,M
1,138.1,68.85,102.63,4,M
2,125.03,70.11,99.59,5,M
2,120.27,66.04,106.31,6,M
0,131.97,63.3,103.74,7,M
0,126.75,64.99,103.52,8,M
0,120.23,63.25,102.4,9,M
2,138.69,70.52,99.86,11,M
1,132.8,68.65,106,12,M
2,120.68,65.91,105.16,13,M
1,,64.78,103.08,14,M
0,138.27,67.77,102.64,15,M
2,122.66,69.05,100.18,16,M
2,128.76,69.83,101.2,17,M
2,133.16,70.12,102.65,18,M
1,138.99,69,100.43,19,M
2,139.28,63.93,105.8,20,M
0,119.49,67.53,100,21,M
1,123.12,64.06,104.11,22,M
0,119.25,63.21,105.15,23,M
0,122.14,65.36,100.48,24,M
0,124.6,65.74,104.06,25,F
1,134.27,66.01,99.08,26,F
1,125.39,70.95,99.75,27,F
0,136.84,65.07,99.55,28,F
2,128.11,,99.28,29,F
1,132.55,66.95,103.11,30,F
1,127.57,69.71,106.52,31,F
2,122.27,69.46,104.22,32,F
2,129.31,67.19,102.37,33,F
2,128.93,69.59,102.89,34,F
0,130.66,69.29,100.74,35,F
1,133.32,70.82,103.63,36,F
2,124.08,71,102.62,37,F
0,129.19,64.16,104.28,38,F
2,140.67,65.31,100.33,39,F
2,124.73,66.69,,40,F
0,124.99,68.56,99.9,41,F
1,140.54,67.92,100.58,42,F
2,135.79,65.01,105.6,43,F
0,125.41,69.56,102.79,44,F
0,127.2,67.39,104.53,45,F
1,138.07,70.62,106.08,46,F
0,124.77,63.97,103.42,47,F
1,140.75,65.32,99.68,48,F
2,132.5,65.6,102.57,49,F
0,137.78,68.02,106.81,50,F
0,124.71,63.56,105.07,51,F
1,136.6,64.52,106.15,52,F
1,124.08,70.86,105.62,53,F
2,127.18,66.89,102.24,54,F
0,129.96,68.17,103.33,55,F
0,136.98,68.9,106.95,56,F
1,125.22,67.11,106.42,57,F
2,139.97,63.05,99.26,58,F
2,122.27,70.38,104.05,59,F
2,124.11,66.36,101.18,60,F
1,129.24,63.81,101.66,61,F
2,121.92,64.97,100.73,62,F
0,138.6,65.69,101,63,F
1,120.29,65.78,106.73,64,F
1,135.16,66.42,103.96,65,F
1,140.77,67.56,,66,F
0,119.52,69.34,104.05,67,F
2,134.68,64.51,104.23,68,F
2,135.11,65.09,100.68,69,F
2,131.9,70.55,106.76,70,F
1,121.09,67.95,101.53,71,F
2,125.38,65.72,105.88,72,F
0,119.29,70.09,106.09,73,F
1,133.59,67.29,103.21,74,F
0,132.43,66.23,106.42,75,F
0,137.95,68.36,99.04,76,F
2,,,104.22,77,F
1,125.08,63.78,106.86,78,F
2,126.37,70.01,101.9,79,F
0,125.6,64.32,106.77,80,F
2,120.69,67.13,105.25,81,F
1,128.82,64.77,106.9,82,F
1,139.16,63.18,101.37,83,F
2,119.43,69.31,100.94,84,F
2,124.95,67.53,105.32,85,F
1,122.8,63.43,106.64,86,F
2,127.75,68.38,100.97,87,F
1,132.19,63.76,104.15,88,F
1,132.62,66.71,102.08,89,F
1,125.61,68.45,102.02,90,F
0,138.53,70.42,105.47,91,F
2,128.82,64.75,99.67,92,F
1,133,68.43,103.41,93,F
1,137.44,66.73,100.9,94,M
0,125.07,63.93,102.71,95,M
0,125.39,64.5,102.72,96,M
1,136.08,65.11,102.18,97,M
0,119.89,63.07,102.97,98,M
1,125.41,,99.99,99,M
2,121.52,66.34,104.18,100,M
0,134.81,65.04,105.78,101,M
0,124.44,65.57,105.18,102,M
0,127.35,71,102.32,103,M
1,120.75,69.75,105.57,104,M
1,127.35,67.32,100.7,105,M
2,125.2,68.81,103.41,106,M
1,,70.24,102.2,107,M
2,129.19,68.1,103.62,108,M
0,128.05,63.09,100.4,109,M
2,133.68,63.55,99.18,110,M
0,122.96,66.23,104.09,111,M
0,129.07,70.54,102.99,112,M
2,130.26,63.66,104.81,113,M
2,140.2,69.84,104.45,114,M
0,123.93,63.63,99.03,115,M
2,137.71,64.66,105.24,116,M
1,121.17,63.1,106.44,117,M
1,121.39,64.05,101.22,118,M
1,137.81,67.88,100.86,119,M
1,139.39,65.62,101.39,120,M
2,120.25,65.11,100.93,121,M
0,134.89,68.12,103.65,122,M
2,121.74,64.48,100.48,123,M
0,122.59,63.78,105.24,124,M
0,137.35,66.9,102.27,125,M
2,132.68,67.3,102.88,126,M
0,122.64,63.95,100.6,127,M
1,120.76,65.09,101.2,128,M
2,126.88,66.79,100.8,129,M
0,133.55,66.89,100.84,130,M
1,121.05,64.8,99.14,131,M
1,135.03,67.22,106.94,132,M
2,132.18,70.66,99.15,133,F
2,120.55,65.37,106.56,134,F
0,139.44,67.14,104.81,135,F
1,138.07,63.2,100.04,136,F
1,123.52,66.55,99.09,137,F
0,139.27,70.31,99.54,138,F
2,137.42,64.89,102.03,139,F
2,130.32,69.1,104.92,140,F
0,125.41,63.1,106.21,141,F
1,124.28,70.24,100.26,142,F
0,134.42,65.08,103.91,143,F
0,129.67,,101.1,144,F
0,136.92,66.15,103.93,145,F
2,135.83,63.59,103.52,146,F
0,136.21,69.69,99.69,147,F
1,125.22,66.94,104.13,148,F
2,137.98,64.37,102.29,149,F
1,132.7,66.55,100.93,150,F
1,131.81,68.27,105.34,151,F
2,123.9,69.79,100.33,152,F
0,,65.3,107,153,F
0,124.35,70.2,101.56,154,F
0,120.35,64.15,102.76,156,F
2,139.65,70.11,105.74,157,F
0,140.29,65.48,104.14,158,F
2,122.37,63.1,100.52,159,F
2,134.92,68.38,99.05,160,F
2,134.41,65.17,100.91,161,F
1,119.01,67.84,104.13,162,F
0,136.32,69.94,103.6,163,F
1,125.73,65.77,102.74,164,F
1,119.38,65.53,100.12,165,F
2,140.15,67.29,105.7,166,F
0,135.11,66.91,100.8,167,F
2,137.37,66.65,103.89,168,F
0,134.01,70.23,99.66,169,F
2,136.56,65.01,104.54,170,F
1,124.07,64.85,99.34,171,F
2,136.96,67.7,105.52,172,F
0,139.48,64.34,106.6,173,F
1,136.4,,,174,F
2,137.85,66.58,99.63,175,F
2,134.89,63.84,104.15,176,F
0,120.92,66.83,107,177,F
1,137.81,65.1,103.67,178,F
1,119.74,69.11,104.86,179,F
