species,Elevation
Alstonia_scholaris,high
Ilex_micrococca,high
Amorphophallus_virosus,high
Calamus_henryanus,high
Ehretia_thyrsiflora,high
Salacia_aurantiaca,high
Sarcandra_glabra,high
Garcinia_multiflora,high
Calycopteris_floribunda,high
Combretum_griffithii,high
Eupatorium_fortunei,high
Cucumis_sativus,high
Carex_baccans,high
Carex_sp,high
Elaeocarpus_braceanus,high
Trigonobalanus_doichangensis,high
Illigera_grandiflora,high
Rabdosia_lophanthoides,high
Holboellia_coriacea,high
Lindera_communis,high
Cassia_agnes,high
Dalbergia_mimosoides,high
Derris_robusta,high
Desmodium_sequax,high
Mucuna_pruriens,high
Ormosia_olivacea,high
Phyllodium_longipes,high
Priotropis_cytisoides,high
Dalbergia_assamica,high
Aspidopterys_glabriuscula,high
Cipadessa_cinerascens,high
Walsura_robusta,high
Ficus_fistulosa,high
Horsfieldia_pandurifolia,high
Myristica_fragrans,high
Syzygium_balsameum,high
Schoepfia_fragrans,high
Rumex_nepalensis,high
Rapanea_neriifolia,high
Osyris_wightiana,high
Solanum_spirale,high
Styrax_chinensis,high
Eurya_groffii,high
Amomum_koenigii,high
Acanthus_leucostachyus,low
Choerospondias_axillaris,low
Desmos_chinensis,low
Polyalthia_suberosa,low
Mitrephora_maingayi,low
Heracleum_bivittatum,low
Melodinus_henryi,low
Tylophora_arenicola,low
Alnus_nepalensis,low
Canarium_bengalense,low
Camptotheca_acuminata,low
Daphniphyllum_longeracemosum,low
Elaeocarpus_fleuryi,low
Craibiodendron_henryi,low
Antidesma_acidum,low
Antidesma_montanum,low
Aporusa_dioica,low
Aporusa_villosa,low
Aporusa_yunnanensis,low
Baccaurea_ramilflora,low
Garcinia_lancilimba,low
Pittosporopsis_kerrii,low
Engelhardtia_roxburghiana,low
Ocimum_gratissimum,low
Litsea_monopetala,low
Cassia_grandis,low
Cassia_spectabilis,low
Crotalaria_pallida,low
Dalbergia_obtusifolia,low
Ormosia_cambodiana,low
Kydia_calycina,low
Melastoma_affine,low
Memecylon_polyanthum,low
Osbeckia_nepalensis,low
Oxyspora_paniculata,low
Amoora_ouangliensis,low
Ficus_hispida,low
Knema_furfuracea,low
Fraxinus_floribunda,low
Embelia_ribes,low
Embelia_undulata,low
Embelia_floribunda,low
Helicia_nilagirica,low
Aidia_yunnanensis,low
Nephelium_chryseum,low
Solanum_torvum,low
Turpinia_cochinchinensis,low
Styrax_agrestis,low
Styrax_japonicus,low
Pyrenaria_cheliensis,low
Betula_alnoides,mid
Dolichandrone_stipulata,mid
Oroxylum_indicum,mid
Stereospermum_colais,mid
Celastrus_paniculatus,mid
Terminalia_bellirica,mid
Terminalia_myriocarpa,mid
Nyssa_javanica,mid
Diospyros_kaki,mid
Diospyros_kerrii,mid
Elaeocarpus_austro-yunnanensis,mid
Elaeocarpus_prunifolioides,mid
Mallotus_philippensis,mid
Lithocarpus_fenestratus,mid
Lithocarpus_litseifolius,mid
Lithocarpus_triqueter,mid
Garcinia_paucinervis,mid
Neocinnamomum_caudatum,mid
Acrocarpus_fraxinifolius,mid
Albizia_odoratissima,mid
Cassia_siamea,mid
Dalbergia_fusca,mid
Dalbergia_hupeana,mid
Dalbergia_rimosa,mid
Dracaena_cochinchinensis,mid
Duabanga_grandiflora,mid
Lawsonia_inermis,mid
Kadsura_coccinea,mid
Sida_alnifolia,mid
Pericampylus_glaucus,mid
Ficus_auriculata,mid
Ficus_oligodon,mid
Ficus_racemosa,mid
Ficus_semicordata,mid
Knema_linifolia,mid
Adenia_cardiophylla,mid
Passiflora_coerulea,mid
Pittosporum_illicioides,mid
Coix_lacryma-jobi,mid
Embelia_sessiliflora,mid
Hovenia_acerba,mid
Ventilago_leiocarpa,mid
Ziziphus_attopensis,mid
Neillia_serratisepala,mid
Mitragyna_rotundifolia,mid
Sapindus_rarak,mid
Picrasma_javanica,mid
Brucea_mollis,mid
Solanum_indicum,mid
Solanum_wrightii,mid
Styrax_argentifolius,mid
Symplocos_paniculata,mid
Symplocos_ramosissima,mid
Camellia_sinensis,mid
Callicarpa_arborea,mid
Callicarpa_rubella,mid
Tetrastigma_yunnanense,mid
Tetrastigma_sp,mid
