species,Forest,Soil
Acanthus_leucostachyus,Dry,Poor
Acrocarpus_fraxinifolius,Dry,Poor
Adenia_cardiophylla,Dry,Poor
Aidia_yunnanensis,Dry,Rich
Albizia_odoratissima,Dry,Poor
Alnus_nepalensis,Dry,Mean
Alstonia_scholaris,Dry,Mean
Amomum_koenigii,Wet,Rich
Amoora_ouangliensis,Dry,Poor
Amorphophallus_virosus,Dry,Mean
Antidesma_acidum,Wet,Poor
Antidesma_montanum,Dry,Poor
Aporusa_dioica,Dry,Poor
Aporusa_villosa,Dry,Poor
Aporusa_yunnanensis,Dry,Poor
Aspidopterys_glabriuscula,Dry,Rich
Baccaurea_ramilflora,Wet,Poor
Betula_alnoides,Dry,Poor
Brucea_mollis,Wet,Poor
Calamus_henryanus,Dry,Mean
Callicarpa_rubella,Dry,Poor
Calycopteris_floribunda,Dry,Rich
Camellia_sinensis,Dry,Mean
Camptotheca_acuminata,Dry,Poor
Canarium_bengalense,Wet,Poor
Carex_baccans,Wet,Mean
Carex_sp,Wet,Mean
Cassia_agnes,Dry,Mean
Cassia_grandis,Dry,Poor
Cassia_siamea,Wet,Poor
Cassia_spectabilis,Wet,Mean
Celastrus_paniculatus,Wet,Rich
Choerospondias_axillaris,Wet,Mean
Cipadessa_cinerascens,Wet,Poor
Coix_lacryma-jobi,Wet,Poor
Combretum_griffithii,Dry,Mean
Craibiodendron_henryi,Wet,Poor
Crotalaria_pallida,Wet,Mean
Cucumis_sativus,Dry,Mean
Dalbergia_assamica,Dry,Poor
Dalbergia_hupeana,Dry,Mean
Dalbergia_mimosoides,Dry,Mean
Dalbergia_obtusifolia,Dry,Poor
Dalbergia_rimosa,Dry,Mean
Daphniphyllum_longeracemosum,Wet,Rich
Derris_robusta,Dry,Rich
Desmodium_sequax,Wet,Rich
Desmos_chinensis,Dry,Rich
Diospyros_kaki,Wet,Rich
Diospyros_kerrii,Dry,Rich
Dolichandrone_stipulata,Dry,Poor
Dracaena_cochinchinensis,Dry,Poor
Duabanga_grandiflora,Dry,Rich
Dumasia_villosa,Dry,Mean
Ehretia_thyrsiflora,Wet,Poor
Elaeocarpus_braceanus,Dry,Mean
Elaeocarpus_fleuryi,Dry,Mean
Elaeocarpus_prunifolioides,Wet,Mean
Embelia_floribunda,Dry,Rich
Embelia_ribes,Wet,Mean
Embelia_sessiliflora,Dry,Mean
Engelhardtia_roxburghiana,Dry,Mean
Eupatorium_fortunei,Dry,Poor
Eurya_groffii,Dry,Mean
Evodia_fraxinifolia,Dry,Rich
Ficus_auriculata,Dry,Poor
Ficus_fistulosa,Dry,Mean
Ficus_hispida,Dry,Mean
Ficus_oligodon,Dry,Poor
Ficus_pubigera,Dry,Mean
Ficus_racemosa,Wet,Rich
Ficus_semicordata,Wet,Mean
Fraxinus_floribunda,Dry,Poor
Garcinia_lancilimba,Dry,Poor
Garcinia_paucinervis,Dry,Rich
Helicia_nilagirica,Dry,Mean
Heracleum_bivittatum,Wet,Rich
Holboellia_coriacea,Dry,Rich
Horsfieldia_pandurifolia,Wet,Poor
Hovenia_acerba,Dry,Mean
Ilex_micrococca,Dry,Mean
Illigera_grandiflora,Dry,Mean
Kadsura_coccinea,Dry,Mean
Khaya_senegalensis,Wet,Rich
Knema_furfuracea,Wet,Rich
Knema_linifolia,Wet,Mean
Kydia_calycina,Dry,Rich
Lawsonia_inermis,Dry,Poor
Lindera_communis,Wet,Poor
Lithocarpus_fenestratus,Wet,Rich
Lithocarpus_litseifolius,Dry,Rich
Lithocarpus_triqueter,Dry,Rich
Litsea_monopetala,Dry,Poor
Mallotus_philippensis,Wet,Poor
Melastoma_affine,Dry,Mean
Melodinus_henryi,Dry,Rich
Memecylon_polyanthum,Wet,Rich
Mitragyna_rotundifolia,Dry,Rich
Mitrephora_maingayi,Dry,Rich
Mucuna_pruriens,Wet,Mean
Mussaenda_hossei,Wet,Poor
Myristica_fragrans,Wet,Mean
Neillia_serratisepala,Dry,Poor
Neocinnamomum_caudatum,Dry,Poor
Nephelium_chryseum,Dry,Rich
Nyssa_javanica,Dry,Poor
Ocimum_gratissimum,Dry,Mean
Ormosia_olivacea,Dry,Mean
Oroxylum_indicum,Dry,Poor
Osbeckia_nepalensis,Wet,Mean
Oxyspora_paniculata,Wet,Poor
Passiflora_coerulea,Dry,Poor
Pericampylus_glaucus,Dry,Poor
Photinia_serrulata,Dry,Rich
Phyllodium_longipes,Dry,Mean
Picrasma_javanica,Dry,Poor
Pittosporopsis_kerrii,Wet,Mean
Pittosporum_illicioides,Dry,Poor
Polyalthia_suberosa,Wet,Rich
Priotropis_cytisoides,Dry,Mean
Pyrenaria_cheliensis,Dry,Poor
Rabdosia_lophanthoides,Dry,Mean
Rapanea_neriifolia,Wet,Poor
Rumex_nepalensis,Wet,Poor
Salacia_aurantiaca,Wet,Mean
Salacia_prinoides,Dry,Mean
Sapindus_rarak,Wet,Poor
Sarcandra_glabra,Dry,Rich
Schoepfia_fragrans,Dry,Poor
Sida_alnifolia,Dry,Rich
Siraitia_siamensis,Wet,Mean
Solanum_indicum,Dry,Rich
Solanum_spirale,Dry,Poor
Solanum_torvum,Dry,Poor
Solanum_wrightii,Wet,Mean
Stereospermum_colais,Wet,Poor
Styrax_agrestis,Wet,Rich
Styrax_argentifolius,Wet,Rich
Symplocos_paniculata,Wet,Mean
Symplocos_ramosissima,Wet,Poor
Syzygium_balsameum,Dry,Rich
Terminalia_bellirica,Dry,Poor
Terminalia_myriocarpa,Wet,Poor
Tetrastigma_sp,Wet,Rich
Tetrastigma_yunnanense,Wet,Mean
Toddalia_asiatica,Dry,Poor
Turpinia_cochinchinensis,Dry,Rich
Tylophora_arenicola,Wet,Rich
Uncaria_macrophylla,Dry,Poor
Ventilago_leiocarpa,Dry,Poor
Walsura_robusta,Dry,Poor
Ziziphus_attopensis,Wet,Poor
