family,species,Mass (g),Tannin %,Fiber %,Elevation,Forest,Soil
Acanthaceae,Acanthus_leucostachyus,0.006526667,0.327,11.91,low,Dry,Poor
Anacardiaceae,Choerospondias_axillaris,1.788803571,0.351,75.93,low,Wet,Mean
Annonaceae,Desmos_chinensis,0.08994,0.106,43.66,low,Dry,Rich
Annonaceae,Polyalthia_suberosa,0.08046,0.904,48.43,low,Wet,Rich
Annonaceae ,Mitrephora_maingayi,0.34897,0.148,54.12,low,Dry,Rich
Apiaceae,Heracleum_bivittatum,0.002466667,0.378,36.26,low,Wet,Rich
Apocynaceae,Melodinus_henryi,0.1427,0.104,25.42,low,Dry,Rich
Apocynaceae,Tylophora_arenicola,0.004906667,0.695,28.69,low,Wet,Rich
Apocynaceae,Alstonia_scholaris,0.0042084,0.901,36.78,high,Dry,Mean
Aquifoliaceae,Ilex_micrococca,0.0009364,0.289,56.48,high,Dry,Mean
Araceae,Amorphophallus_virosus,0.092136667,0.568,18.38,high,Dry,Mean
Arecaceae,Calamus_henryanus,0.763216667,0.013,48.14,high,Dry,Mean
Betulaceae,Alnus_nepalensis,0.0001724,0.289,64.93,low,Dry,Mean
Betulaceae ,Betula_alnoides,9.85E-05,0.568,39.68,mid,Dry,Poor
Bignoniaceae,Dolichandrone_stipulata,0.09315,0.018,28.04,mid,Dry,Poor
Bignoniaceae,Oroxylum_indicum,0.084945,2.513,22.72,mid,Dry,Poor
Bignoniaceae,Stereospermum_colais,0.017386667,0.077,64.68,mid,Wet,Poor
Boraginaceae,Ehretia_thyrsiflora,0.006013333,0.08,75.39,high,Wet,Poor
Burseraceae,Canarium_bengalense,3.559696667,0.164,73.29,low,Wet,Poor
Celastraceae,Celastrus_paniculatus,0.019146667,0.159,23.08,mid,Wet,Rich
Celastraceae,Salacia_aurantiaca,1.97582,3.194,7.81,high,Wet,Mean
Celastraceae,Salacia_prinoides,0.22894375,0.03,10.94,high,Dry,Mean
Chloranthaceae,Sarcandra_glabra,0.022096667,0.042,16.13,high,Dry,Rich
Clusiaceae,Garcinia_multiflora,2.637521053,1.341,22.29,high,Dry,Rich
Combretaceae,Calycopteris_floribunda,0.005156667,4.12,54.97,high,Dry,Rich
Combretaceae,Combretum_griffithii,0.113846667,11.096,42.26,high,Dry,Mean
Combretaceae,Terminalia_bellirica,2.562206667,1.645,62.46,mid,Dry,Poor
Combretaceae,Terminalia_myriocarpa,0.0009528,6.07,38.68,mid,Wet,Poor
Compositae,Eupatorium_fortunei,0.0005608,2.525,16.18,high,Dry,Poor
Cornaceae,Camptotheca_acuminata,0.051316667,0.163,52.6,low,Dry,Poor
Cornaceae,Nyssa_javanica,0.187453333,0.104,66.4,mid,Dry,Poor
Cucurbitaceae,Cucumis_sativus,0.012686667,0.4,41.19,high,Dry,Mean
Cucurbitaceae,Siraitia_siamensis,0.111523333,0.134,72.33,high,Wet,Mean
Cyperaceae,Carex_baccans,0.001844,0.428,29.17,high,Wet,Mean
Cyperaceae,Carex_sp,0.0008384,1.47,29.32,high,Wet,Mean
Daphniphyllaceae,Daphniphyllum_longeracemosum,0.14317,0.816,31.25,low,Wet,Rich
Ebenaceae,Diospyros_kaki,0.279453333,2.972,37.93,mid,Wet,Rich
Ebenaceae ,Diospyros_kerrii,0.326073077,3.377,39.4,mid,Dry,Rich
Elaeocarpaceae,Elaeocarpus_austro-yunnanensis,3.015306667,0.278,81.08,mid,Dry,Rich
Elaeocarpaceae,Elaeocarpus_braceanus,7.425784615,0.538,81.49,high,Dry,Mean
Elaeocarpaceae,Elaeocarpus_fleuryi,12.51516,0.129,77.85,low,Dry,Mean
Elaeocarpaceae,Elaeocarpus_prunifolioides,0.16282,3.026,71.49,mid,Wet,Mean
Ericaceae,Craibiodendron_henryi,0.002133333,2.447,26.16,low,Wet,Poor
Euphorbiaceae,Antidesma_acidum,0.01427,0.613,50.49,low,Wet,Poor
Euphorbiaceae,Antidesma_montanum,0.009496667,0.478,56.54,low,Dry,Poor
Euphorbiaceae,Aporusa_dioica,0.028263333,0.059,23.84,low,Dry,Poor
Euphorbiaceae,Aporusa_villosa,0.02988,0.092,25.15,low,Dry,Poor
Euphorbiaceae,Aporusa_yunnanensis,0.037093333,0.04,20.81,low,Dry,Poor
Euphorbiaceae,Baccaurea_ramilflora,0.151306667,0.016,27.31,low,Wet,Poor
Euphorbiaceae,Mallotus_philippensis,0.017493333,0.591,57.26,mid,Wet,Poor
Fagaceae,Lithocarpus_fenestratus,3.299686667,2.356,43.38,mid,Wet,Rich
Fagaceae,Lithocarpus_litseifolius,1.722216667,2.021,37.42,mid,Dry,Rich
Fagaceae,Lithocarpus_triqueter,8.700325,1.145,53.94,mid,Dry,Rich
